0.01,0.478
0.02,0.462
0.03,0.49
0.04,0.502
0.05,0.508
0.06,0.51
0.07,0.512
0.08,0.512
0.09,0.512
0.1,0.512
0.11,0.512
0.12,0.511
0.13,0.511
0.14,0.51
0.15,0.509
0.16,0.509
0.17,0.508
0.18,0.507
0.19,0.507
0.2,0.506
0.21,0.505
0.22,0.505
0.23,0.504
0.24,0.503
0.25,0.503
0.26,0.503
0.27,0.502
0.28,0.502
0.29,0.502
0.3,0.502
0.31,0.502
0.32,0.502
0.33,0.502
0.34,0.502
0.35,0.502
0.36,0.502
0.37,0.502
0.38,0.502
0.39,0.502
0.4,0.502
0.41,0.502
0.42,0.502
0.43,0.502
0.44,0.502
0.45,0.502
0.46,0.502
0.47,0.502
0.48,0.502
0.49,0.502
0.5,0.502
0.51,0.502
0.52,0.503
0.53,0.503
0.54,0.503
0.55,0.503
0.56,0.503
0.57,0.503
0.58,0.503
0.59,0.503
0.6,0.504
0.61,0.505
0.62,0.505
0.63,0.506
0.64,0.507
0.65,0.508
0.66,0.509
0.67,0.51
0.68,0.511
0.69,0.512
0.7,0.513
0.71,0.514
0.72,0.515
0.73,0.516
0.74,0.516
0.75,0.517
0.76,0.518
0.77,0.519
0.78,0.52
0.79,0.521
0.8,0.522
0.81,0.523
0.82,0.524
0.83,0.525
0.84,0.526
0.85,0.527
0.86,0.528
0.87,0.529
0.88,0.53
0.89,0.531
0.9,0.532
0.91,0.536
0.92,0.546
0.93,0.565
0.94,0.587
0.95,0.609
0.96,0.631
0.97,0.653
0.98,0.675
0.99,0.697
1,0.719
1.01,0.741
1.02,0.762
1.03,0.784
1.04,0.806
1.05,0.828
1.06,0.828
1.07,0.828
1.08,0.829
1.09,0.829
1.1,0.829
1.11,0.83
1.12,0.83
1.13,0.831
1.14,0.831
1.15,0.832
1.16,0.832
1.17,0.831
1.18,0.831
1.19,0.831
1.2,0.83
1.21,0.829
1.22,0.828
1.23,0.828
1.24,0.827
1.25,0.826
1.26,0.826
1.27,0.825
1.28,0.824
1.29,0.824
1.3,0.823
1.31,0.823
1.32,0.823
1.33,0.822
1.34,0.822
1.35,0.822
1.36,0.821
1.37,0.821
1.38,0.821
1.39,0.821
1.4,0.821
1.41,0.821
1.42,0.82
1.43,0.818
1.44,0.816
1.45,0.815
1.46,0.813
1.47,0.812
1.48,0.81
1.49,0.809
1.5,0.807
1.51,0.806
1.52,0.804
1.53,0.803
1.54,0.801
1.55,0.8
1.56,0.798
1.57,0.797
1.58,0.795
1.59,0.794
1.6,0.792
1.61,0.791
1.62,0.789
1.63,0.788
1.64,0.786
1.65,0.785
1.66,0.784
1.67,0.782
1.68,0.781
1.69,0.779
1.7,0.778
1.71,0.777
1.72,0.775
1.73,0.774
1.74,0.772
1.75,0.771
1.76,0.77
1.77,0.768
1.78,0.767
1.79,0.766
1.8,0.764
1.81,0.763
1.82,0.761
1.83,0.76
1.84,0.759
1.85,0.757
1.86,0.756
1.87,0.755
1.88,0.753
1.89,0.752
1.9,0.751
1.91,0.749
1.92,0.748
1.93,0.747
1.94,0.745
1.95,0.744
1.96,0.743
1.97,0.741
1.98,0.74
1.99,0.739
2,0.737
2.01,0.736
2.02,0.735
2.03,0.734
2.04,0.733
2.05,0.732
2.06,0.731
2.07,0.73
2.08,0.729
2.09,0.728
2.1,0.727
2.11,0.726
2.12,0.724
2.13,0.723
2.14,0.722
2.15,0.721
2.16,0.72
2.17,0.719
2.18,0.718
2.19,0.717
2.2,0.716
2.21,0.715
2.22,0.714
2.23,0.713
2.24,0.712
2.25,0.711
2.26,0.71
2.27,0.709
2.28,0.708
2.29,0.707
2.3,0.706
2.31,0.705
2.32,0.704
2.33,0.703
2.34,0.702
2.35,0.701
2.36,0.7
2.37,0.699
2.38,0.698
2.39,0.697
2.4,0.696
2.41,0.695
2.42,0.694
2.43,0.693
2.44,0.692
2.45,0.691
2.46,0.69
2.47,0.689
2.48,0.688
2.49,0.687
2.5,0.686
2.51,0.685
2.52,0.684
2.53,0.683
2.54,0.682
2.55,0.681
2.56,0.68
2.57,0.679
2.58,0.678
2.59,0.677
2.6,0.676
2.61,0.675
2.62,0.675
2.63,0.674
2.64,0.673
2.65,0.672
2.66,0.671
2.67,0.67
2.68,0.669
2.69,0.668
2.7,0.667
2.71,0.666
2.72,0.665
2.73,0.664
2.74,0.663
2.75,0.662
2.76,0.661
2.77,0.661
2.78,0.66
2.79,0.659
2.8,0.658
2.81,0.657
2.82,0.656
2.83,0.655
2.84,0.654
2.85,0.653
2.86,0.652
2.87,0.652
2.88,0.651
2.89,0.65
2.9,0.649
2.91,0.648
2.92,0.647
2.93,0.646
2.94,0.645
2.95,0.644
2.96,0.644
2.97,0.643
2.98,0.642
2.99,0.641
3,0.64
