0.01,0.467
0.02,0.452
0.03,0.479
0.04,0.491
0.05,0.497
0.06,0.5
0.07,0.501
0.08,0.502
0.09,0.502
0.1,0.501
0.11,0.501
0.12,0.501
0.13,0.5
0.14,0.499
0.15,0.499
0.16,0.498
0.17,0.497
0.18,0.496
0.19,0.496
0.2,0.495
0.21,0.494
0.22,0.494
0.23,0.493
0.24,0.493
0.25,0.492
0.26,0.492
0.27,0.492
0.28,0.492
0.29,0.491
0.3,0.491
0.31,0.491
0.32,0.491
0.33,0.491
0.34,0.491
0.35,0.491
0.36,0.491
0.37,0.491
0.38,0.491
0.39,0.491
0.4,0.491
0.41,0.491
0.42,0.491
0.43,0.491
0.44,0.491
0.45,0.491
0.46,0.491
0.47,0.491
0.48,0.491
0.49,0.491
0.5,0.491
0.51,0.491
0.52,0.491
0.53,0.491
0.54,0.492
0.55,0.492
0.56,0.492
0.57,0.492
0.58,0.492
0.59,0.492
0.6,0.492
0.61,0.493
0.62,0.494
0.63,0.495
0.64,0.496
0.65,0.497
0.66,0.497
0.67,0.498
0.68,0.499
0.69,0.5
0.7,0.501
0.71,0.502
0.72,0.503
0.73,0.504
0.74,0.505
0.75,0.506
0.76,0.506
0.77,0.507
0.78,0.508
0.79,0.509
0.8,0.51
0.81,0.511
0.82,0.512
0.83,0.513
0.84,0.514
0.85,0.515
0.86,0.516
0.87,0.517
0.88,0.518
0.89,0.518
0.9,0.519
0.91,0.523
0.92,0.534
0.93,0.552
0.94,0.574
0.95,0.595
0.96,0.617
0.97,0.638
0.98,0.659
0.99,0.681
1,0.702
1.01,0.724
1.02,0.745
1.03,0.767
1.04,0.788
1.05,0.81
1.06,0.81
1.07,0.81
1.08,0.81
1.09,0.81
1.1,0.81
1.11,0.811
1.12,0.811
1.13,0.811
1.14,0.812
1.15,0.813
1.16,0.812
1.17,0.812
1.18,0.812
1.19,0.811
1.2,0.81
1.21,0.809
1.22,0.809
1.23,0.808
1.24,0.807
1.25,0.806
1.26,0.806
1.27,0.805
1.28,0.804
1.29,0.804
1.3,0.803
1.31,0.803
1.32,0.802
1.33,0.802
1.34,0.802
1.35,0.801
1.36,0.801
1.37,0.801
1.38,0.801
1.39,0.801
1.4,0.8
1.41,0.8
1.42,0.799
1.43,0.798
1.44,0.796
1.45,0.794
1.46,0.793
1.47,0.791
1.48,0.79
1.49,0.788
1.5,0.786
1.51,0.785
1.52,0.783
1.53,0.782
1.54,0.78
1.55,0.779
1.56,0.777
1.57,0.776
1.58,0.774
1.59,0.773
1.6,0.771
1.61,0.77
1.62,0.768
1.63,0.767
1.64,0.766
1.65,0.764
1.66,0.763
1.67,0.761
1.68,0.76
1.69,0.758
1.7,0.757
1.71,0.756
1.72,0.754
1.73,0.753
1.74,0.751
1.75,0.75
1.76,0.749
1.77,0.747
1.78,0.746
1.79,0.744
1.8,0.743
1.81,0.742
1.82,0.74
1.83,0.739
1.84,0.737
1.85,0.736
1.86,0.735
1.87,0.733
1.88,0.732
1.89,0.731
1.9,0.729
1.91,0.728
1.92,0.727
1.93,0.725
1.94,0.724
1.95,0.722
1.96,0.721
1.97,0.72
1.98,0.718
1.99,0.717
2,0.716
2.01,0.715
2.02,0.714
2.03,0.712
2.04,0.711
2.05,0.71
2.06,0.709
2.07,0.708
2.08,0.707
2.09,0.706
2.1,0.705
2.11,0.704
2.12,0.703
2.13,0.702
2.14,0.701
2.15,0.7
2.16,0.699
2.17,0.698
2.18,0.697
2.19,0.695
2.2,0.694
2.21,0.693
2.22,0.692
2.23,0.691
2.24,0.69
2.25,0.689
2.26,0.688
2.27,0.687
2.28,0.686
2.29,0.685
2.3,0.684
2.31,0.683
2.32,0.682
2.33,0.681
2.34,0.68
2.35,0.679
2.36,0.678
2.37,0.677
2.38,0.676
2.39,0.675
2.4,0.674
2.41,0.673
2.42,0.672
2.43,0.671
2.44,0.67
2.45,0.669
2.46,0.668
2.47,0.667
2.48,0.666
2.49,0.665
2.5,0.664
2.51,0.663
2.52,0.662
2.53,0.661
2.54,0.66
2.55,0.659
2.56,0.658
2.57,0.657
2.58,0.656
2.59,0.656
2.6,0.655
2.61,0.654
2.62,0.653
2.63,0.652
2.64,0.651
2.65,0.65
2.66,0.649
2.67,0.648
2.68,0.647
2.69,0.646
2.7,0.645
2.71,0.644
2.72,0.643
2.73,0.642
2.74,0.641
2.75,0.641
2.76,0.64
2.77,0.639
2.78,0.638
2.79,0.637
2.8,0.636
2.81,0.635
2.82,0.634
2.83,0.633
2.84,0.632
2.85,0.632
2.86,0.631
2.87,0.63
2.88,0.629
2.89,0.628
2.9,0.627
2.91,0.626
2.92,0.625
2.93,0.624
2.94,0.624
2.95,0.623
2.96,0.622
2.97,0.621
2.98,0.62
2.99,0.619
3,0.618
