valid_time,pressure_level,u,v,t,r
2025-07-22 14:00:00,500,10.462271,1.527648,263.90186,22.43071
2025-07-22 15:00:00,1000,3.15979,-0.4885955,302.76294,36.486526
2025-07-22 15:00:00,925,3.1017714,-0.46389878,298.36108,36.14232
2025-07-22 15:00:00,850,4.8820705,-0.57606584,292.46338,46.197815
2025-07-22 15:00:00,700,6.3901863,0.69605124,281.27173,14.702414
2025-07-22 15:00:00,500,11.62664,1.4336472,263.81982,31.319092
2025-07-22 16:00:00,1000,3.3578625,-1.1252937,302.49585,38.87863
2025-07-22 16:00:00,925,3.2932997,-1.086195,298.0913,38.543488
2025-07-22 16:00:00,850,5.298414,-1.6692228,292.2766,48.253723
2025-07-22 16:00:00,700,5.7713223,1.15518,281.17554,21.72882
2025-07-22 16:00:00,500,12.355825,0.81913507,263.80664,39.236984
2025-07-22 17:00:00,1000,3.4207582,-1.8315687,301.56372,43.84549
2025-07-22 17:00:00,925,3.3641691,-1.786479,297.15186,43.681824
2025-07-22 17:00:00,850,5.729887,-3.13801,291.49292,53.29341
2025-07-22 17:00:00,700,5.3971567,1.7513428,281.1394,28.845718
2025-07-22 17:00:00,500,12.907786,-0.6209044,263.93433,33.026566
2025-07-22 18:00:00,1000,3.0230503,-2.2450256,300.28125,49.846527
2025-07-22 18:00:00,925,2.9514856,-2.166254,295.87354,49.75638
2025-07-22 18:00:00,850,5.3422956,-4.12109,290.23145,61.61505
2025-07-22 18:00:00,700,6.311488,1.895113,281.31934,34.46469
2025-07-22 18:00:00,500,12.905892,-2.0582848,264.0359,23.441849
2025-07-22 19:00:00,1000,2.4923,-2.149725,299.04492,55.37799
2025-07-22 19:00:00,925,2.4634714,-2.060975,294.6482,55.176437
2025-07-22 19:00:00,850,4.8027143,-4.311225,289.1245,67.05278
2025-07-22 19:00:00,700,7.114973,2.4879255,281.3401,38.074966
2025-07-22 19:00:00,500,12.996356,-2.6292238,263.97412,26.187134
2025-07-22 20:00:00,1000,2.0881338,-1.9643068,297.8181,60.57814
2025-07-22 20:00:00,925,2.061967,-1.8900957,293.42725,60.535187
2025-07-22 20:00:00,850,4.760165,-4.761813,287.94287,71.8999
2025-07-22 20:00:00,700,7.6989613,2.9214964,281.22168,40.847702
2025-07-22 20:00:00,500,13.156,-2.8981066,263.98804,29.690842
2025-07-22 21:00:00,1000,2.0035448,-2.036418,296.51392,66.66069
2025-07-22 21:00:00,925,1.972661,-1.9842587,292.1206,66.979935
2025-07-22 21:00:00,850,4.536847,-5.074073,286.78247,77.19153
2025-07-22 21:00:00,700,8.4095335,2.7276478,281.07104,39.514328
2025-07-22 21:00:00,500,13.111413,-2.3681116,263.94458,23.522995
2025-07-22 22:00:00,1000,1.8105431,-1.3227825,295.98828,71.191605
2025-07-22 22:00:00,925,1.7270765,-1.28304,291.5874,71.63779
2025-07-22 22:00:00,850,4.1801014,-3.8821812,287.56445,60.95758
2025-07-22 22:00:00,700,6.9036865,3.2302341,280.05347,40.080612
2025-07-22 22:00:00,500,13.781521,-1.6595716,263.6797,18.0318
2025-07-22 23:00:00,1000,1.6247225,-1.1303968,295.18066,76.61212
2025-07-22 23:00:00,925,1.5179005,-1.0748196,290.80835,76.87779
2025-07-22 23:00:00,850,3.657857,-3.593814,287.8894,52.99678
2025-07-22 23:00:00,700,6.9963837,3.3012753,280.06592,33.896896
2025-07-22 23:00:00,500,13.845007,-1.0172358,263.5664,23.720291
2025-07-23 00:00:00,1000,1.5705366,-1.1160841,294.54858,80.95177
2025-07-23 00:00:00,925,1.4611607,-1.0178223,290.1875,81.416595
2025-07-23 00:00:00,850,3.6493835,-3.6944466,287.50903,54.028778
2025-07-23 00:00:00,700,6.987236,2.8704042,280.22632,25.44017
2025-07-23 00:00:00,500,14.031759,-0.836749,263.4309,33.85817
2025-07-23 01:00:00,1000,1.4095945,-1.1422386,294.00708,83.61087
2025-07-23 01:00:00,925,1.2867632,-1.0066757,289.6477,84.192474
2025-07-23 01:00:00,850,3.1825638,-3.7893553,286.65942,56.886597
2025-07-23 01:00:00,700,6.8153324,2.448677,280.35962,19.695816
2025-07-23 01:00:00,500,14.754392,-1.2028551,263.34644,44.51198
